id,exercise,student_count,raw_code_snippets,canonicalized_snippets_shown_to_model,reference_solution_shown_to_model,discussion_point,is_grounded_y_n,is_lecturer_facing_y_n,is_actionable_y_n
1,sum-ints,5,"nums = input().split()
print(sum(int(n) for n in nums) + 1)

---

nums = input().split()
print(sum(int(n) for n in nums) + 1)

---

nums = input().split()
print(sum(int(n) for n in nums) + 1)","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) + 1 ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) + 1 ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) + 1 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"All student snippets add 1 to the value returned by the outer function call (i.e., they have a ‘+ 1’ after the inner generator expression), which is absent in the reference solution.",y,y,y
2,sum-ints,2,"nums = input().split()
print(sum(int(n) for n in nums) - 1)

---

nums = input().split()
print(sum(int(n) for n in nums) - 1)","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) - 1 ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) - 1 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"Both snippets include an explicit ‘- 1’ subtraction applied to the function call that wraps the generator expression, which is absent in the reference solution.",y,y,y
3,sum-ints,4,"nums = input().split()
print(sum(int(n) for n in nums[1:]))

---

nums = input().split()
print(sum(int(n) for n in nums[:-1]))

---

nums = input().split()
print(sum(int(n) for n in nums[:-1]))","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 [ 1 : ] ) ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 [ : - 1 ] ) ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 [ : - 1 ] ) ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"All snippets iterate over a sliced version of the input sequence within the generator expression (using a slice such as [1:] or [:-1]), whereas the reference solution iterates over the full sequence without slicing.",y,y,y
4,sum-ints,2,"nums = input().split()
print(int(nums[0]))

---

nums = input().split()
print(int(nums[0]))","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR1 [ 0 ] ) ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR1 [ 0 ] ) ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"Both snippets index the first element of a collection using the literal `[0]`, which is not present in the reference solution.",y,y,y
5,sum-ints,2,"nums = input().split()
result = 1
for n in nums:
    result *= int(n)
print(result)

---

nums = input().split()
result = 1
for n in nums:
    result *= int(n)
print(result)","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 = 1 STMT_BREAK for VAR5 in VAR1 : STMT_BREAK VAR4 *= VAR6 ( VAR5 ) STMT_BREAK VAR7 ( VAR4 ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 = 1 STMT_BREAK for VAR5 in VAR1 : STMT_BREAK VAR4 *= VAR6 ( VAR5 ) STMT_BREAK VAR7 ( VAR4 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"All student snippets initialize a variable to 1, then use an explicit for‑loop to multiply that variable by a function of each element, and finally call a function with the resulting product.",y,y,y
6,double-it,2,"print(int(input()) + 2)

---

print(int(input()) + 2)","VAR1 ( VAR2 ( VAR3 ( ) ) + 2 ) STMT_BREAK

---

VAR1 ( VAR2 ( VAR3 ( ) ) + 2 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( ) ) * 2 ) STMT_BREAK,"Both snippets apply addition of the literal 2 to the value returned by the inner function call, rather than multiplying by 2 as in the reference solution.",y,y,y
7,double-it,2,"int = input()
print(int*2)

---

int = input()
print(int*2)","VAR1 = VAR2 ( ) STMT_BREAK VAR3 ( VAR1 * 2 ) STMT_BREAK

---

VAR1 = VAR2 ( ) STMT_BREAK VAR3 ( VAR1 * 2 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( ) ) * 2 ) STMT_BREAK,"All student snippets assign the first function’s return to a variable and later call a second function with that variable multiplied by 2, instead of nesting the calls and multiplying the innermost result as in the reference solution.","partial, too complicated",y,y
8,is_palindrome,2,"def is_palindrome(s):
    t = s.replace("" "", """")  # forgot to lowercase
    return t == t[::-1]

s = input()
print(is_palindrome(s))


---

def is_palindrome(s):
    t = s.replace("" "", """")  # forgot to lowercase
    return t == t[::-1]

s = input()
print(is_palindrome(s))
","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR5 ( ) STMT_BREAK VAR6 ( VAR1 ( VAR2 ) ) STMT_BREAK

---

def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR5 ( ) STMT_BREAK VAR6 ( VAR1 ( VAR2 ) ) STMT_BREAK","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR6 ( ) STMT_BREAK VAR7 ( VAR1 ( VAR2 ) ) STMT_BREAK",Both student snippets pass the two string literals directly to the initial method call on the input object instead of invoking a parameter‑less first method followed by a second method that receives those literals.,partial,y,partial
9,is_palindrome,2,"def is_palindrome(s):
    t = s.lower()  # forgot to strip spaces
    return t == t[::-1]

s = input()
print(is_palindrome(s))


---

def is_palindrome(s):
    t = s.lower()  # forgot to strip spaces
    return t == t[::-1]

s = input()
print(is_palindrome(s))
","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR5 ( ) STMT_BREAK VAR6 ( VAR1 ( VAR2 ) ) STMT_BREAK

---

def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR5 ( ) STMT_BREAK VAR6 ( VAR1 ( VAR2 ) ) STMT_BREAK","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR6 ( ) STMT_BREAK VAR7 ( VAR1 ( VAR2 ) ) STMT_BREAK","Both snippets assign the processed value by calling only the initial method on the input and omit the subsequent method call that takes the two string literals "" "" and """" present in the reference solution.",partial,y,partial
10,is_palindrome,2,"def is_palindrome(s):
    t = s.lower().replace("" "", """")
    n = len(t)
    for i in range(n // 2):
        if t[i] != t[n - i - 2]:  # off-by-one: should be n - i - 1
            return False
    return True

s = input()
print(is_palindrome(s))


---

def is_palindrome(s):
    t = s.lower().replace("" "", """")
    n = len(t)
    for i in range(n // 2):
        if t[i] != t[n - i - 2]:  # off-by-one: should be n - i - 1
            return False
    return True

s = input()
print(is_palindrome(s))
","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK VAR6 = VAR7 ( VAR3 ) STMT_BREAK for VAR8 in VAR9 ( VAR6 // 2 ) : STMT_BREAK if VAR3 [ VAR8 ] != VAR3 [ VAR6 - VAR8 - 2 ] : STMT_BREAK return False STMT_BREAK return True STMT_BREAK VAR2 = VAR10 ( ) STMT_BREAK VAR11 ( VAR1 ( VAR2 ) ) STMT_BREAK

---

def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK VAR6 = VAR7 ( VAR3 ) STMT_BREAK for VAR8 in VAR9 ( VAR6 // 2 ) : STMT_BREAK if VAR3 [ VAR8 ] != VAR3 [ VAR6 - VAR8 - 2 ] : STMT_BREAK return False STMT_BREAK return True STMT_BREAK VAR2 = VAR10 ( ) STMT_BREAK VAR11 ( VAR1 ( VAR2 ) ) STMT_BREAK","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR6 ( ) STMT_BREAK VAR7 ( VAR1 ( VAR2 ) ) STMT_BREAK","The students’ code all uses a loop over half the processed string’s length with an index calculation `length - index - 2` to compare characters, rather than the direct slice comparison used in the reference solution.",partial,y,partial
